survived,sex,age,class,fare,adult_minor,dataset,age_was_imputed,passenger_crew
False,male,43.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,30.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,52.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,22.0,Engineering,,Adult,Lusitania,False,Crew
False,male,30.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,44.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,30.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,29.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,37.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,30.0,Engineering,,Adult,Lusitania,False,Crew
False,male,26.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,50.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,23.0,Engineering,,Adult,Lusitania,False,Crew
False,male,58.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,17.0,Engineering,,Minor,Lusitania,False,Crew
True,male,47.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,44.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,19.0,Engineering,,Adult,Lusitania,False,Crew
False,male,42.0,Engineering,,Adult,Lusitania,False,Crew
False,male,44.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,24.0,Engineering,,Adult,Lusitania,False,Crew
False,male,40.0,Engineering,,Adult,Lusitania,False,Crew
False,male,41.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,23.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,60.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,24.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,44.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,25.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,50.0,Engineering,,Adult,Lusitania,False,Crew
False,male,56.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,38.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,28.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,28.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,52.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,28.0,Engineering,,Adult,Lusitania,False,Crew
False,male,36.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,38.0,Engineering,,Adult,Lusitania,False,Crew
False,male,16.0,Engineering,,Minor,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,31.0,Engineering,,Adult,Lusitania,False,Crew
False,male,32.0,Engineering,,Adult,Lusitania,False,Crew
True,male,19.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,46.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,58.0,Saloon,,Adult,Lusitania,False,Passenger
True,female,46.0,Saloon,,Adult,Lusitania,False,Passenger
True,female,42.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,15.0,Saloon,,Minor,Lusitania,False,Passenger
False,female,16.0,Saloon,,Minor,Lusitania,False,Passenger
False,female,26.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,50.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,45.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,50.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,27.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,48.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,38.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,43.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,42.0,Saloon,,Adult,Lusitania,False,Passenger
True,female,31.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,32.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,40.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,34.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,27.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,54.0,Saloon,,Adult,Lusitania,False,Passenger
True,female,50.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,33.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,39.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,50.0,Saloon,,Adult,Lusitania,False,Passenger
